date_key,date_type,full_date,day_num_of_week,day_num_of_month,day_num_of_quarter,day_num_of_year,day_num_absolute,day_of_week_name,day_of_week_abbreviation,julian_day_num_of_year
1,Normal,1900-01-01 0:00,2,1,1,1,1,MONDAY,MON,1900001
2,Normal,1900-01-02 0:00,3,2,2,2,2,TUESDAY,TUE,1900002
3,Normal,1900-01-03 0:00,4,3,3,3,3,WEDNESDAY,WED,1900003
4,Normal,1900-01-04 0:00,5,4,4,4,4,THURSDAY,THU,1900004
5,Normal,1900-01-05 0:00,6,5,5,5,5,FRIDAY,FRI,1900005
6,Normal,1900-01-06 0:00,7,6,6,6,6,SATURDAY,SAT,1900006
7,Normal,1900-01-07 0:00,1,7,7,7,7,SUNDAY,SUN,1900007
8,Normal,1900-01-08 0:00,2,8,8,8,8,MONDAY,MON,1900008
9,Normal,1900-01-09 0:00,3,9,9,9,9,TUESDAY,TUE,1900009
10,Normal,1900-01-10 0:00,4,10,10,10,10,WEDNESDAY,WED,1900010
11,Normal,1900-01-11 0:00,5,11,11,11,11,THURSDAY,THU,1900011
12,Normal,1900-01-12 0:00,6,12,12,12,12,FRIDAY,FRI,1900012
13,Normal,1900-01-13 0:00,7,13,13,13,13,SATURDAY,SAT,1900013
14,Normal,1900-01-14 0:00,1,14,14,14,14,SUNDAY,SUN,1900014
15,Normal,1900-01-15 0:00,2,15,15,15,15,MONDAY,MON,1900015
16,Normal,1900-01-16 0:00,3,16,16,16,16,TUESDAY,TUE,1900016
17,Normal,1900-01-17 0:00,4,17,17,17,17,WEDNESDAY,WED,1900017
18,Normal,1900-01-18 0:00,5,18,18,18,18,THURSDAY,THU,1900018
19,Normal,1900-01-19 0:00,6,19,19,19,19,FRIDAY,FRI,1900019
20,Normal,1900-01-20 0:00,7,20,20,20,20,SATURDAY,SAT,1900020
21,Normal,1900-01-21 0:00,1,21,21,21,21,SUNDAY,SUN,1900021
22,Normal,1900-01-22 0:00,2,22,22,22,22,MONDAY,MON,1900022
23,Normal,1900-01-23 0:00,3,23,23,23,23,TUESDAY,TUE,1900023
24,Normal,1900-01-24 0:00,4,24,24,24,24,WEDNESDAY,WED,1900024
25,Normal,1900-01-25 0:00,5,25,25,25,25,THURSDAY,THU,1900025
26,Normal,1900-01-26 0:00,6,26,26,26,26,FRIDAY,FRI,1900026
27,Normal,1900-01-27 0:00,7,27,27,27,27,SATURDAY,SAT,1900027
28,Normal,1900-01-28 0:00,1,28,28,28,28,SUNDAY,SUN,1900028
29,Normal,1900-01-29 0:00,2,29,29,29,29,MONDAY,MON,1900029
30,Normal,1900-01-30 0:00,3,30,30,30,30,TUESDAY,TUE,1900030
31,Normal,1900-01-31 0:00,4,31,31,31,31,WEDNESDAY,WED,1900031
32,Normal,1900-02-01 0:00,5,1,32,32,32,THURSDAY,THU,1900032
33,Normal,1900-02-02 0:00,6,2,33,33,33,FRIDAY,FRI,1900033
34,Normal,1900-02-03 0:00,7,3,34,34,34,SATURDAY,SAT,1900034
35,Normal,1900-02-04 0:00,1,4,35,35,35,SUNDAY,SUN,1900035
36,Normal,1900-02-05 0:00,2,5,36,36,36,MONDAY,MON,1900036
37,Normal,1900-02-06 0:00,3,6,37,37,37,TUESDAY,TUE,1900037
38,Normal,1900-02-07 0:00,4,7,38,38,38,WEDNESDAY,WED,1900038
39,Normal,1900-02-08 0:00,5,8,39,39,39,THURSDAY,THU,1900039
40,Normal,1900-02-09 0:00,6,9,40,40,40,FRIDAY,FRI,1900040
41,Normal,1900-02-10 0:00,7,10,41,41,41,SATURDAY,SAT,1900041
42,Normal,1900-02-11 0:00,1,11,42,42,42,SUNDAY,SUN,1900042
43,Normal,1900-02-12 0:00,2,12,43,43,43,MONDAY,MON,1900043
44,Normal,1900-02-13 0:00,3,13,44,44,44,TUESDAY,TUE,1900044
45,Normal,1900-02-14 0:00,4,14,45,45,45,WEDNESDAY,WED,1900045
46,Normal,1900-02-15 0:00,5,15,46,46,46,THURSDAY,THU,1900046
47,Normal,1900-02-16 0:00,6,16,47,47,47,FRIDAY,FRI,1900047
48,Normal,1900-02-17 0:00,7,17,48,48,48,SATURDAY,SAT,1900048
49,Normal,1900-02-18 0:00,1,18,49,49,49,SUNDAY,SUN,1900049
50,Normal,1900-02-19 0:00,2,19,50,50,50,MONDAY,MON,1900050
51,Normal,1900-02-20 0:00,3,20,51,51,51,TUESDAY,TUE,1900051
52,Normal,1900-02-21 0:00,4,21,52,52,52,WEDNESDAY,WED,1900052
53,Normal,1900-02-22 0:00,5,22,53,53,53,THURSDAY,THU,1900053
54,Normal,1900-02-23 0:00,6,23,54,54,54,FRIDAY,FRI,1900054
55,Normal,1900-02-24 0:00,7,24,55,55,55,SATURDAY,SAT,1900055
56,Normal,1900-02-25 0:00,1,25,56,56,56,SUNDAY,SUN,1900056
57,Normal,1900-02-26 0:00,2,26,57,57,57,MONDAY,MON,1900057
58,Normal,1900-02-27 0:00,3,27,58,58,58,TUESDAY,TUE,1900058
59,Normal,1900-02-28 0:00,4,28,59,59,59,WEDNESDAY,WED,1900059
60,Normal,1900-03-01 0:00,5,1,60,60,60,THURSDAY,THU,1900060
61,Normal,1900-03-02 0:00,6,2,61,61,61,FRIDAY,FRI,1900061
62,Normal,1900-03-03 0:00,7,3,62,62,62,SATURDAY,SAT,1900062
63,Normal,1900-03-04 0:00,1,4,63,63,63,SUNDAY,SUN,1900063
64,Normal,1900-03-05 0:00,2,5,64,64,64,MONDAY,MON,1900064
65,Normal,1900-03-06 0:00,3,6,65,65,65,TUESDAY,TUE,1900065
66,Normal,1900-03-07 0:00,4,7,66,66,66,WEDNESDAY,WED,1900066
67,Normal,1900-03-08 0:00,5,8,67,67,67,THURSDAY,THU,1900067
68,Normal,1900-03-09 0:00,6,9,68,68,68,FRIDAY,FRI,1900068
69,Normal,1900-03-10 0:00,7,10,69,69,69,SATURDAY,SAT,1900069
70,Normal,1900-03-11 0:00,1,11,70,70,70,SUNDAY,SUN,1900070
71,Normal,1900-03-12 0:00,2,12,71,71,71,MONDAY,MON,1900071
72,Normal,1900-03-13 0:00,3,13,72,72,72,TUESDAY,TUE,1900072
73,Normal,1900-03-14 0:00,4,14,73,73,73,WEDNESDAY,WED,1900073
74,Normal,1900-03-15 0:00,5,15,74,74,74,THURSDAY,THU,1900074
75,Normal,1900-03-16 0:00,6,16,75,75,75,FRIDAY,FRI,1900075
76,Normal,1900-03-17 0:00,7,17,76,76,76,SATURDAY,SAT,1900076
77,Normal,1900-03-18 0:00,1,18,77,77,77,SUNDAY,SUN,1900077
78,Normal,1900-03-19 0:00,2,19,78,78,78,MONDAY,MON,1900078
79,Normal,1900-03-20 0:00,3,20,79,79,79,TUESDAY,TUE,1900079
80,Normal,1900-03-21 0:00,4,21,80,80,80,WEDNESDAY,WED,1900080
81,Normal,1900-03-22 0:00,5,22,81,81,81,THURSDAY,THU,1900081
82,Normal,1900-03-23 0:00,6,23,82,82,82,FRIDAY,FRI,1900082
83,Normal,1900-03-24 0:00,7,24,83,83,83,SATURDAY,SAT,1900083
84,Normal,1900-03-25 0:00,1,25,84,84,84,SUNDAY,SUN,1900084
85,Normal,1900-03-26 0:00,2,26,85,85,85,MONDAY,MON,1900085
86,Normal,1900-03-27 0:00,3,27,86,86,86,TUESDAY,TUE,1900086
87,Normal,1900-03-28 0:00,4,28,87,87,87,WEDNESDAY,WED,1900087
88,Normal,1900-03-29 0:00,5,29,88,88,88,THURSDAY,THU,1900088
89,Normal,1900-03-30 0:00,6,30,89,89,89,FRIDAY,FRI,1900089
90,Normal,1900-03-31 0:00,7,31,90,90,90,SATURDAY,SAT,1900090
91,Normal,1900-04-01 0:00,1,1,1,91,91,SUNDAY,SUN,1900091
92,Normal,1900-04-02 0:00,2,2,2,92,92,MONDAY,MON,1900092
93,Normal,1900-04-03 0:00,3,3,3,93,93,TUESDAY,TUE,1900093
94,Normal,1900-04-04 0:00,4,4,4,94,94,WEDNESDAY,WED,1900094
95,Normal,1900-04-05 0:00,5,5,5,95,95,THURSDAY,THU,1900095
96,Normal,1900-04-06 0:00,6,6,6,96,96,FRIDAY,FRI,1900096
97,Normal,1900-04-07 0:00,7,7,7,97,97,SATURDAY,SAT,1900097
98,Normal,1900-04-08 0:00,1,8,8,98,98,SUNDAY,SUN,1900098
99,Normal,1900-04-09 0:00,2,9,9,99,99,MONDAY,MON,1900099
